zip,yr_id,name,households
91901,2020,"Less than $15,000",181
91901,2020,"$15,000 to $29,999",536
91901,2020,"$30,000 to $44,999",436
91901,2020,"$45,000 to $59,999",296
91901,2020,"$60,000 to $74,999",360
91901,2020,"$75,000 to $99,999",949
91901,2020,"$100,000 to $124,999",798
91901,2020,"$125,000 to $149,999",499
91901,2020,"$150,000 to $199,999",947
91901,2020,"$200,000 or more",1231
91901,2021,"Less than $15,000",238
91901,2021,"$15,000 to $29,999",487
91901,2021,"$30,000 to $44,999",405
91901,2021,"$45,000 to $59,999",252
91901,2021,"$60,000 to $74,999",407
91901,2021,"$75,000 to $99,999",918
91901,2021,"$100,000 to $124,999",771
91901,2021,"$125,000 to $149,999",596
91901,2021,"$150,000 to $199,999",859
91901,2021,"$200,000 or more",1434
91901,2022,"Less than $15,000",164
91901,2022,"$15,000 to $29,999",503
91901,2022,"$30,000 to $44,999",442
91901,2022,"$45,000 to $59,999",311
91901,2022,"$60,000 to $74,999",393
91901,2022,"$75,000 to $99,999",900
91901,2022,"$100,000 to $124,999",732
91901,2022,"$125,000 to $149,999",581
91901,2022,"$150,000 to $199,999",894
91901,2022,"$200,000 or more",1480
91902,2020,"Less than $15,000",173
91902,2020,"$15,000 to $29,999",132
91902,2020,"$30,000 to $44,999",304
91902,2020,"$45,000 to $59,999",410
91902,2020,"$60,000 to $74,999",322
91902,2020,"$75,000 to $99,999",802
91902,2020,"$100,000 to $124,999",609
91902,2020,"$125,000 to $149,999",603
91902,2020,"$150,000 to $199,999",1021
91902,2020,"$200,000 or more",1315
91902,2021,"Less than $15,000",176
91902,2021,"$15,000 to $29,999",169
91902,2021,"$30,000 to $44,999",388
91902,2021,"$45,000 to $59,999",367
91902,2021,"$60,000 to $74,999",328
91902,2021,"$75,000 to $99,999",783
91902,2021,"$100,000 to $124,999",713
91902,2021,"$125,000 to $149,999",659
91902,2021,"$150,000 to $199,999",839
91902,2021,"$200,000 or more",1382
91902,2022,"Less than $15,000",120
91902,2022,"$15,000 to $29,999",158
91902,2022,"$30,000 to $44,999",425
91902,2022,"$45,000 to $59,999",443
91902,2022,"$60,000 to $74,999",319
91902,2022,"$75,000 to $99,999",775
91902,2022,"$100,000 to $124,999",674
91902,2022,"$125,000 to $149,999",651
91902,2022,"$150,000 to $199,999",864
91902,2022,"$200,000 or more",1417
91905,2020,"Less than $15,000",223
91905,2020,"$15,000 to $29,999",60
91905,2020,"$30,000 to $44,999",86
91905,2020,"$45,000 to $59,999",53
91905,2020,"$60,000 to $74,999",0
91905,2020,"$75,000 to $99,999",127
91905,2020,"$100,000 to $124,999",64
91905,2020,"$125,000 to $149,999",0
91905,2020,"$150,000 to $199,999",7
91905,2020,"$200,000 or more",31
91905,2021,"Less than $15,000",225
91905,2021,"$15,000 to $29,999",97
91905,2021,"$30,000 to $44,999",40
91905,2021,"$45,000 to $59,999",49
91905,2021,"$60,000 to $74,999",9
91905,2021,"$75,000 to $99,999",60
91905,2021,"$100,000 to $124,999",112
91905,2021,"$125,000 to $149,999",0
91905,2021,"$150,000 to $199,999",32
91905,2021,"$200,000 or more",36
91905,2022,"Less than $15,000",209
91905,2022,"$15,000 to $29,999",99
91905,2022,"$30,000 to $44,999",41
91905,2022,"$45,000 to $59,999",53
91905,2022,"$60,000 to $74,999",16
91905,2022,"$75,000 to $99,999",60
91905,2022,"$100,000 to $124,999",112
91905,2022,"$125,000 to $149,999",0
91905,2022,"$150,000 to $199,999",33
91905,2022,"$200,000 or more",37
91906,2020,"Less than $15,000",73
91906,2020,"$15,000 to $29,999",68
91906,2020,"$30,000 to $44,999",275
91906,2020,"$45,000 to $59,999",93
91906,2020,"$60,000 to $74,999",66
91906,2020,"$75,000 to $99,999",71
91906,2020,"$100,000 to $124,999",90
91906,2020,"$125,000 to $149,999",121
91906,2020,"$150,000 to $199,999",312
91906,2020,"$200,000 or more",7
91906,2021,"Less than $15,000",108
91906,2021,"$15,000 to $29,999",59
91906,2021,"$30,000 to $44,999",302
91906,2021,"$45,000 to $59,999",81
91906,2021,"$60,000 to $74,999",51
91906,2021,"$75,000 to $99,999",46
91906,2021,"$100,000 to $124,999",136
91906,2021,"$125,000 to $149,999",95
91906,2021,"$150,000 to $199,999",303
91906,2021,"$200,000 or more",18
91906,2022,"Less than $15,000",86
91906,2022,"$15,000 to $29,999",56
91906,2022,"$30,000 to $44,999",320
91906,2022,"$45,000 to $59,999",91
91906,2022,"$60,000 to $74,999",51
91906,2022,"$75,000 to $99,999",46
91906,2022,"$100,000 to $124,999",133
91906,2022,"$125,000 to $149,999",94
91906,2022,"$150,000 to $199,999",307
91906,2022,"$200,000 or more",16
91910,2020,"Less than $15,000",2420
91910,2020,"$15,000 to $29,999",2570
91910,2020,"$30,000 to $44,999",2552
91910,2020,"$45,000 to $59,999",2209
91910,2020,"$60,000 to $74,999",2400
91910,2020,"$75,000 to $99,999",3478
91910,2020,"$100,000 to $124,999",2708
91910,2020,"$125,000 to $149,999",2032
91910,2020,"$150,000 to $199,999",2390
